id,userId,task_type,task,input_type,input,input_assessment,confidence,understanding,valence,arousal,task_start,task_end,task_time
,124,information_finding,1,final_output,"Unterwiehre-Süd, Herdern-Nord, Oberwiehre, Waldsee, Haslach-Haid, Stühlinger-Eschholz, Altstadt-Ring, Alt-Betzenhausen, Littenweiler, Lehen, Munzingen, Betzenhausen-Bischofslinde, Ebnet, Vauban, Oberau, Kappel, Haslach-Gartenstadt, Weingarten, Brühl-Industriegebiet, Herdern-Süd, Opfingen, Mooswald-West, Zähringen, Mundenhof, Mooswald-Ost, St. Georgen-Nord, Mittelwiehre, Hochdorf, Haslach-Egerten, Nicht zuordenbar, Günterstal, Landwasser, Rieselfeld, Unterwiehre-Nord, Brühl-Beurbarung, Waltershofen, Altstadt-Mitte, Neuburg, Haslach-Schildacker, Brühl-Güterbahnhof, Tiengen, St. Georgen-Süd, Alt-Stühlinger.",,6,7,5,6,1719301237795.0,1719301279357.0,56.03
,124,information_finding,1,prompt,"Nennen Sie alle Bezirke in einer durch Kommata getrennten Liste (bspw. Bezirk 1, Bezirk 2, Bezirk 3...). Falls es keine Bezirke gibt, schreiben Sie ""Keine"" als Antwort.",,,,,,,1719301250.0,
,124,information_finding,2,final_output,Dauert zu lange,,1,1,1,5,1719301417964.0,1719301510753.0,103.5
,124,information_finding,2,prompt,"Nennen Sie die Einwohnerzahlen die sich aus den Daten der Gesamtstadt und der einzelnen Stadtbezirke ergeben.

",,,,,,,1719301424.0,
,124,information_finding,3,final_output,Alt-Stühlinger,,2,3,3,5,1719301293214.0,1719301393553.0,124.84
,124,information_finding,3,prompt,"Nennen sie den Stadtbezirk mit den meisten Einpersonenhaushalten und die Anzahl der insgesamt dort lebenden Erwachsenen.

",,,,,,,1719301301.0,
,124,information_finding,3,llm_answer,"{""output"": ""Der Stadtbezirk mit den meisten Einpersonenhaushalten ist Alt-St\u00fchlinger mit insgesamt 8146 dort lebenden Erwachsenen.""}",,,,3,3,,1719301371.0,
,124,information_finding,4,final_output,93.238,,1,1,1,5,1719301521806.0,1719301616486.0,103.9
,124,information_finding,4,prompt,"Nennen Sie die Anzahl der Kitaplätze und der Kinder unter 6 Jahren.

",,,,,,,1719301529.0,
,124,information_finding,4,llm_answer,"{""output"": ""Die Gesamtzahl der Kitapl\u00e4tze betr\u00e4gt 93.238 und die Anzahl der Pl\u00e4tze f\u00fcr Kinder unter 3 Jahren (ohne BSG/Tagespflege) betr\u00e4gt 24.849.""}",,,,2,2,,1719301576.0,
,124,information_finding,5,final_output,Dauert zu lange,,1,1,1,5,1719301625106.0,1719301703975.0,85.63
,124,information_finding,5,prompt,"Bitte nennen Sie den Stadtbezirk mit den meisten Altbauwohnungen und die Summe der erteilten Baugenehmigungen in diesem Stadtbezirk in den Jahren 2010-2020

",,,,,,,1719301631.0,
